회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)경인양행,012610,1993/12,23530482,
(주)경인양행,012610,1994/12,30956069,
(주)경인양행,012610,1995/12,36074413,
(주)경인양행,012610,1996/12,43105295,
(주)경인양행,012610,1997/12,56699105,
(주)경인양행,012610,1998/12,64671226,
(주)경인양행,012610,1999/12,61136538,
(주)경인양행,012610,2000/12,70069338,
(주)경인양행,012610,2001/12,81614530,
(주)경인양행,012610,2002/12,93646343,
(주)경인양행,012610,2003/12,88282906,
(주)경인양행,012610,2004/12,95832343,
(주)경인양행,012610,2005/12,88050292,
(주)경인양행,012610,2006/12,84978240,
(주)경인양행,012610,2007/12,93016594,93016594
(주)경인양행,012610,2008/12,125462289,125462289
(주)경인양행,012610,2009/12,129006386,129006386
(주)경인양행,012610,2010/12,149007816,149007816
(주)경인양행,012610,2011/12,128707611,128707611
(주)경인양행,012610,2012/12,141304459,141304459
(주)경인양행,012610,2013/12,183106757,183106757
(주)경인양행,012610,2014/12,190395047,190395047
(주)경인양행,012610,2015/12,175006703,175006703
(주)경인양행,012610,2016/12,179267850,179267850
(주)경인양행,012610,2017/12,193975818,193975818
(주)경인양행,012610,2018/12,222659442,222659442
(주)경인양행,012610,2019/12,245244968,245244968
(주)경인양행,012610,2020/12,214380449,214380449
(주)광명전기,017040,1986/12,10050618,
(주)광명전기,017040,1987/12,13100105,
(주)광명전기,017040,1988/12,13919700,
(주)광명전기,017040,1989/12,19450878,
(주)광명전기,017040,1990/12,17131673,
(주)광명전기,017040,1991/12,24007512,
(주)광명전기,017040,1992/12,36123945,
(주)광명전기,017040,1993/12,36525225,
(주)광명전기,017040,1994/12,36977774,
(주)광명전기,017040,1995/12,45943079,
(주)광명전기,017040,1996/12,58619537,
(주)광명전기,017040,1997/12,66936308,
(주)광명전기,017040,1998/12,,
(주)광명전기,017040,1999/12,39585924,
(주)광명전기,017040,2000/12,30290010,
(주)광명전기,017040,2002/11,44895379,
(주)광명전기,017040,2003/11,42804219,
(주)광명전기,017040,2004/11,39607731,
(주)광명전기,017040,2005/12,46234904,
(주)광명전기,017040,2006/12,46571716,
(주)광명전기,017040,2007/12,36387371,36387371
(주)광명전기,017040,2008/12,51124055,51124055
(주)광명전기,017040,2009/12,55112389,55112389
(주)광명전기,017040,2010/12,68226344,68250250
(주)광명전기,017040,2011/12,57967857,57967857
(주)광명전기,017040,2012/12,79318302,79318302
(주)광명전기,017040,2013/12,90344376,90344376
(주)광명전기,017040,2014/12,115801471,115801471
(주)광명전기,017040,2015/12,93000177,93000177
(주)광명전기,017040,2016/12,96931493,96931493
(주)광명전기,017040,2017/12,105083042,105083042
(주)광명전기,017040,2018/12,96949804,96949804
(주)광명전기,017040,2019/12,125009206,125009206
(주)광명전기,017040,2020/12,112536086,112536086
(주)광주신세계,037710,1995/12,56315481,
(주)광주신세계,037710,1996/12,167577230,
(주)광주신세계,037710,1997/12,195470785,
(주)광주신세계,037710,1998/12,201692980,
(주)광주신세계,037710,1999/12,233343538,
(주)광주신세계,037710,2000/12,266573991,
(주)광주신세계,037710,2001/12,287425901,
(주)광주신세계,037710,2002/12,299712705,
(주)광주신세계,037710,2003/12,106737452,
(주)광주신세계,037710,2004/12,99012872,
(주)광주신세계,037710,2005/12,95102252,
(주)광주신세계,037710,2006/12,145258359,
(주)광주신세계,037710,2007/12,184849268,184849268
(주)광주신세계,037710,2008/12,190163145,190163145
(주)광주신세계,037710,2009/12,191841842,191841842
(주)광주신세계,037710,2010/12,213091292,207799414
(주)광주신세계,037710,2011/12,219613514,219613514
(주)광주신세계,037710,2012/12,213803173,213803173
(주)광주신세계,037710,2013/12,206606675,206606675
(주)광주신세계,037710,2014/12,204820461,204820461
